suite,seed,family,model_name,list_type,N,num_train_lists,num_test_lists,k_train_min,k_train_max,k_test,accuracy,internal_steps,params,runtime_ms,layers,hidden_dim,lr,epochs,assembly_size,density,plasticity,transition_rounds,association_steps
seen-mlp-paper,1,MLP,MLP-01,Seen,24,24,0,1,4,1,0.6491666666666667,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,1,MLP,MLP-01,Seen,24,24,0,1,4,2,0.6729166666666667,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,1,MLP,MLP-01,Seen,24,24,0,1,4,3,0.6733333333333333,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,1,MLP,MLP-01,Seen,24,24,0,1,4,4,0.6320833333333333,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,1,MLP,MLP-01,Seen,24,24,0,1,4,5,0.0,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,1,MLP,MLP-01,Seen,24,24,0,1,4,6,0.0,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,1,MLP,MLP-01,Seen,24,24,0,1,4,7,0.0,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,1,MLP,MLP-01,Seen,24,24,0,1,4,8,0.0,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,1,MLP,MLP-01,Seen,24,24,0,1,4,9,0.0,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,1,MLP,MLP-01,Seen,24,24,0,1,4,10,0.0016666666666666668,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,1,MLP,MLP-01,Seen,24,24,0,1,4,11,0.0,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,1,MLP,MLP-01,Seen,24,24,0,1,4,12,0.0020833333333333333,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,2,MLP,MLP-01,Seen,24,24,0,1,4,1,0.6491666666666667,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,2,MLP,MLP-01,Seen,24,24,0,1,4,2,0.6566666666666666,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,2,MLP,MLP-01,Seen,24,24,0,1,4,3,0.72,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,2,MLP,MLP-01,Seen,24,24,0,1,4,4,0.7275,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,2,MLP,MLP-01,Seen,24,24,0,1,4,5,0.0,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,2,MLP,MLP-01,Seen,24,24,0,1,4,6,0.0,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,2,MLP,MLP-01,Seen,24,24,0,1,4,7,0.0,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,2,MLP,MLP-01,Seen,24,24,0,1,4,8,0.0,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,2,MLP,MLP-01,Seen,24,24,0,1,4,9,0.0,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,2,MLP,MLP-01,Seen,24,24,0,1,4,10,0.0,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,2,MLP,MLP-01,Seen,24,24,0,1,4,11,0.0,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,2,MLP,MLP-01,Seen,24,24,0,1,4,12,0.0,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,3,MLP,MLP-01,Seen,24,24,0,1,4,1,0.7083333333333334,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,3,MLP,MLP-01,Seen,24,24,0,1,4,2,0.6441666666666667,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,3,MLP,MLP-01,Seen,24,24,0,1,4,3,0.6795833333333333,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,3,MLP,MLP-01,Seen,24,24,0,1,4,4,0.66625,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,3,MLP,MLP-01,Seen,24,24,0,1,4,5,0.0,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,3,MLP,MLP-01,Seen,24,24,0,1,4,6,0.0,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,3,MLP,MLP-01,Seen,24,24,0,1,4,7,0.0,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,3,MLP,MLP-01,Seen,24,24,0,1,4,8,0.0,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,3,MLP,MLP-01,Seen,24,24,0,1,4,9,0.0,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,3,MLP,MLP-01,Seen,24,24,0,1,4,10,0.0,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,3,MLP,MLP-01,Seen,24,24,0,1,4,11,0.0,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,3,MLP,MLP-01,Seen,24,24,0,1,4,12,0.0,,1918208,,4,512,0.001,60,,,,,
seen-mlp-paper,1,MLP,MLP-02,Seen,24,24,0,1,4,1,0.9933333333333333,,4134656,,4,1024,0.001,60,,,,,
seen-mlp-paper,1,MLP,MLP-02,Seen,24,24,0,1,4,2,0.9879166666666667,,4134656,,4,1024,0.001,60,,,,,
seen-mlp-paper,1,MLP,MLP-02,Seen,24,24,0,1,4,3,0.9925,,4134656,,4,1024,0.001,60,,,,,
seen-mlp-paper,1,MLP,MLP-02,Seen,24,24,0,1,4,4,1.0,,4134656,,4,1024,0.001,60,,,,,
